Line    7 | Day: 1 | Month/Type: SEPTEMBER | Text: 1 SEPTEMBER - Beginning of the Indiction
Line  363 | Day: 8 | Month/Type: NOVEMBER | Text: 8 NOVEMBER Synaxis of St. Archangel Michael
Line  366 | Day: 15 | Month/Type: NOVEMBER | Text: 15 NOVEMBER Beginning of the Forty Days before the Nativity of Christ
Line  376 | Day: 24 | Month/Type: NOVEMBER | Text: 24 NOVEMBER St. Great Martyr Catherine and St. Great Martyr Mercurius
Line  418 | Day: 25 | Month/Type: NOVEMBER | Text: 25 NOVEMBER Apodosis of the Entry of the Most Holy Theotokos,
Line  450 | Day: 9 | Month/Type: DECEMBER | Text: 9 DECEMBER Immaculate Conception of the Most Holy Theotokos
Line  455 | Day: floating | Month/Type: The Forefeast, Feast, Afterfeast and Apodosis of this feast are celebrated exactly according to the general rule of great feasts of the Theotokos, as is prescribed in the newly published Anthologion. However, if its Afterfeast or Apodosis falls on the Sunday of the Forefathers (the second before the Nativity of Christ), which begins on 11 December, then according to the rule approved by the Synod, the divine service is celebrated according to the rule of the Sunday of the Holy Fathers of the First Nicene Council, which is before the Descent of the Holy Spirit, since in both these cases three homogeneous services are taken: Resurrectional, Afterfeast (here - of the Immaculate Conception, there - of the Ascension) and of the Fathers. We will give the rule for this case below, in the rule for the Sunday of the Forefathers. | Text: The Forefeast, Feast, Afterfeast and Apodosis of this feast are celebrated exactly according to the general rule of great feasts of the Theotokos, as is prescribed in the newly published Anthologion. However, if its Afterfeast or Apodosis falls on the Sunday of the Forefathers (the second before the Nativity of Christ), which begins on 11 December, then according to the rule approved by the Synod, the divine service is celebrated according to the rule of the Sunday of the Holy Fathers of the First Nicene Council, which is before the Descent of the Holy Spirit, since in both these cases three homogeneous services are taken: Resurrectional, Afterfeast (here - of the Immaculate Conception, there - of the Ascension) and of the Fathers. We will give the rule for this case below, in the rule for the Sunday of the Forefathers.
Line  463 | Day: floating | Month/Type: The last five sequential Sundays before the Sunday of the Publican and the Pharisee, the 10th before the Resurrection, in which the Triodion begins, are: 28, 29, 30, 31 and 32. And the five Sundays of the Menaion that relate to the feasts of the Nativity of Christ and Theophany [are]: 1. Forefathers, the second before the Nativity of Christ; 2. Fathers, the first before the Nativity of Christ; 3. After the Nativity; 4. Before the Enlightenment (Theophany), 5. After the Enlightenment. | Text: The last five sequential Sundays before the Sunday of the Publican and the Pharisee, the 10th before the Resurrection, in which the Triodion begins, are: 28, 29, 30, 31 and 32. And the five Sundays of the Menaion that relate to the feasts of the Nativity of Christ and Theophany [are]: 1. Forefathers, the second before the Nativity of Christ; 2. Fathers, the first before the Nativity of Christ; 3. After the Nativity; 4. Before the Enlightenment (Theophany), 5. After the Enlightenment.
Line  465 | Day: floating | Month/Type: The Gospel of this Sunday is the same as that of the Sunday of the Forefathers, that is, about the man Who prepared a great supper. If the 28th Sunday falls on the Sunday of the Forefathers, then at the Liturgy only one, the above-mentioned, Gospel is read; but Apostles - two: of the Forefathers, and also of the 28th Sunday. If the 28th Sunday falls directly before or after the Sunday of the Forefathers, read one Gospel about the man Who prepared a great supper, and "on the 28th Sunday read the sequential one which falls on another Sunday"[^289]. If the 28th Sunday falls directly before the Sunday of the Forefathers, then on the Sunday of the Forefathers the 29th sequential Sunday falls, and it is transferred back, to the 28th Sunday. If the 28th Sunday falls directly after the Sunday of the Forefathers, then on the Sunday of the Forefathers the 27th sequential Sunday falls and it is transferred forward, to the 28th Sunday. Similar will be with the Apostle of the 29th sequential Sunday, which will be the same as that of the Sunday of the Forefathers, that is "Brethren, when Christ appears", although the typikon says nothing about this. | Text: The Gospel of this Sunday is the same as that of the Sunday of the Forefathers, that is, about the man Who prepared a great supper. If the 28th Sunday falls on the Sunday of the Forefathers, then at the Liturgy only one, the above-mentioned, Gospel is read; but Apostles - two: of the Forefathers, and also of the 28th Sunday. If the 28th Sunday falls directly before or after the Sunday of the Forefathers, read one Gospel about the man Who prepared a great supper, and "on the 28th Sunday read the sequential one which falls on another Sunday"[^289]. If the 28th Sunday falls directly before the Sunday of the Forefathers, then on the Sunday of the Forefathers the 29th sequential Sunday falls, and it is transferred back, to the 28th Sunday. If the 28th Sunday falls directly after the Sunday of the Forefathers, then on the Sunday of the Forefathers the 27th sequential Sunday falls and it is transferred forward, to the 28th Sunday. Similar will be with the Apostle of the 29th sequential Sunday, which will be the same as that of the Sunday of the Forefathers, that is "Brethren, when Christ appears", although the typikon says nothing about this.
Line  509 | Day: floating | Month/Type: Regarding the superfluous ones, we think that this will never take place. Regarding the lack, we consider that Apostle-Gospels can be lacking at most for five Sundays. To understand this, one must know that Pascha, which follows directly, can fall one or two weeks earlier, or two or three weeks later, than the past one. This conclusion can be made if one compares all the boundary keys of a whole indiction, year after year. Thus, the latest Pascha can fall five weeks later than the previous one, however, with intervals, and not directly from year to year. In that case, if from Pascha to Pascha a whole year ran sequentially, that is 52 weeks, then Apostle-Gospels would be lacking for two Sundays, for they exist only for 50, namely: 18 of the Triodion and 32 outside the Triodion. If, therefore, the following Pascha falls two weeks earlier than the past one, then from Pascha to Pascha only 50 weeks pass and, thus, the number of Apostle-Gospels equals the number of weeks that pass from Pascha to Pascha, for of those too - 50, thus, there will be no superfluous ones. If from Pascha to Pascha 51 weeks pass, then Apostle-Gospels will be lacking for one week, if 53 (52, namely exactly one year, cannot be), then they will be lacking for 3 weeks; if 54, then they will be lacking for four weeks; if 55, then they will be lacking for five weeks. This lack of sequential Sundays can be filled by the Menaion Sundays which belong to the cycle of the Nativity of Christ and Theophany, however, not by all five, but only by four, for the Sunday of the Forefathers and the 28th sequential have the same Gospel, and therefore merge into one Sunday. Therefore one of the past sequential Sundays must be repeated after the Sunday after the Enlightenment. | Text: Regarding the superfluous ones, we think that this will never take place. Regarding the lack, we consider that Apostle-Gospels can be lacking at most for five Sundays. To understand this, one must know that Pascha, which follows directly, can fall one or two weeks earlier, or two or three weeks later, than the past one. This conclusion can be made if one compares all the boundary keys of a whole indiction, year after year. Thus, the latest Pascha can fall five weeks later than the previous one, however, with intervals, and not directly from year to year. In that case, if from Pascha to Pascha a whole year ran sequentially, that is 52 weeks, then Apostle-Gospels would be lacking for two Sundays, for they exist only for 50, namely: 18 of the Triodion and 32 outside the Triodion. If, therefore, the following Pascha falls two weeks earlier than the past one, then from Pascha to Pascha only 50 weeks pass and, thus, the number of Apostle-Gospels equals the number of weeks that pass from Pascha to Pascha, for of those too - 50, thus, there will be no superfluous ones. If from Pascha to Pascha 51 weeks pass, then Apostle-Gospels will be lacking for one week, if 53 (52, namely exactly one year, cannot be), then they will be lacking for 3 weeks; if 54, then they will be lacking for four weeks; if 55, then they will be lacking for five weeks. This lack of sequential Sundays can be filled by the Menaion Sundays which belong to the cycle of the Nativity of Christ and Theophany, however, not by all five, but only by four, for the Sunday of the Forefathers and the 28th sequential have the same Gospel, and therefore merge into one Sunday. Therefore one of the past sequential Sundays must be repeated after the Sunday after the Enlightenment.
Line  511 | Day: floating | Month/Type: SUNDAY OF THE HOLY FOREFATHERS | Text: SUNDAY OF THE HOLY FOREFATHERS
Line  512 | Day: floating | Month/Type: Note: This Sunday, the second before the Nativity of Christ, can fall during the course of seven days, from 11 to 17 December inclusive. Therefore it can fall either in the middle of the feast of the Conception, which is given up on 16 December, or outside, namely 17 December. And since the one that is in the middle of the feast can fall with a Saint either without Polyeleos, which usually happens, or with Polyeleos, as on 13 December, when the Service of St. Eustratius, according to our and Russian typikons, is taken with Polyeleos[^295], the Sunday of the Holy Forefathers has three cases: 1. In the middle of the feast (of the Immaculate Conception) with a Saint without Polyeleos; 2. In the middle of the feast with a Saint with Polyeleos; 3. Outside the feast, that is 17 December. Thus, the Sunday of the Forefathers limits the service of a Saint without Polyeleos to Compline, with the exception of the service of 17 December, that is of the Holy Prophet Daniel and the three youths. Although this service is without Polyeleos, nevertheless, because it has a special relationship to the service of the Forefathers, it is combined with the service of the Forefathers. Now we will give the rule for the three above-mentioned cases. | Text: Note: This Sunday, the second before the Nativity of Christ, can fall during the course of seven days, from 11 to 17 December inclusive. Therefore it can fall either in the middle of the feast of the Conception, which is given up on 16 December, or outside, namely 17 December. And since the one that is in the middle of the feast can fall with a Saint either without Polyeleos, which usually happens, or with Polyeleos, as on 13 December, when the Service of St. Eustratius, according to our and Russian typikons, is taken with Polyeleos[^295], the Sunday of the Holy Forefathers has three cases: 1. In the middle of the feast (of the Immaculate Conception) with a Saint without Polyeleos; 2. In the middle of the feast with a Saint with Polyeleos; 3. Outside the feast, that is 17 December. Thus, the Sunday of the Forefathers limits the service of a Saint without Polyeleos to Compline, with the exception of the service of 17 December, that is of the Holy Prophet Daniel and the three youths. Although this service is without Polyeleos, nevertheless, because it has a special relationship to the service of the Forefathers, it is combined with the service of the Forefathers. Now we will give the rule for the three above-mentioned cases.
Line  517 | Day: floating | Month/Type: 1. SUNDAY OF THE HOLY FOREFATHERS | Text: 1. SUNDAY OF THE HOLY FOREFATHERS
Line  553 | Day: floating | Month/Type: Communion Hymn of the Sunday ("Praise the Lord") and of the Forefathers. On the Apodosis of the Feast - both of the Feast, and of the Forefathers. | Text: Communion Hymn of the Sunday ("Praise the Lord") and of the Forefathers. On the Apodosis of the Feast - both of the Feast, and of the Forefathers.
Line  556 | Day: floating | Month/Type: 2. SUNDAY OF THE HOLY FOREFATHERS | Text: 2. SUNDAY OF THE HOLY FOREFATHERS
Line  557 | Day: 13 | Month/Type: DECEMBER | Text: 13 December with the service of the Holy Martyrs Eustratius and others
Line  559 | Day: floating | Month/Type: When the service of these martyrs falls on weekdays, then their order will be according to the general rule of a Saint with Polyeleos that falls with Afterfeast on weekdays. If on Sunday, then their service is combined with the Resurrectional and the Forefathers. The service of the Afterfeast is not taken, as in the case of John the Theologian on 8 May, when it falls on the Sunday of the Holy Fathers, which is before the Descent. From here we borrow the rule for this case, since the typikon gives nothing. And it will be such: | Text: When the service of these martyrs falls on weekdays, then their order will be according to the general rule of a Saint with Polyeleos that falls with Afterfeast on weekdays. If on Sunday, then their service is combined with the Resurrectional and the Forefathers. The service of the Afterfeast is not taken, as in the case of John the Theologian on 8 May, when it falls on the Sunday of the Holy Fathers, which is before the Descent. From here we borrow the rule for this case, since the typikon gives nothing. And it will be such:
Line  595 | Day: floating | Month/Type: 3. SUNDAY OF THE HOLY FOREFATHERS | Text: 3. SUNDAY OF THE HOLY FOREFATHERS
Line  596 | Day: 17 | Month/Type: DECEMBER | Text: 17 December with the Prophet Daniel and the Youths
Line  634 | Day: floating | Month/Type: Note: This Saturday can fall either before, or after the Sunday of the Forefathers, in the middle or outside the Afterfeast of the Nativity (which is commemorated on 20 December) and has nothing in the divine service, except the Prokimenon, Alleluia, Apostle-Gospel and Communion Hymn at the Liturgy, just as Saturdays after the Nativity of Christ, before the Enlightenment and after the Enlightenment. | Text: Note: This Saturday can fall either before, or after the Sunday of the Forefathers, in the middle or outside the Afterfeast of the Nativity (which is commemorated on 20 December) and has nothing in the divine service, except the Prokimenon, Alleluia, Apostle-Gospel and Communion Hymn at the Liturgy, just as Saturdays after the Nativity of Christ, before the Enlightenment and after the Enlightenment.
Line  642 | Day: floating | Month/Type: SUNDAY OF THE HOLY FATHERS BEFORE THE NATIVITY OF CHRIST | Text: SUNDAY OF THE HOLY FATHERS BEFORE THE NATIVITY OF CHRIST
Line  648 | Day: floating | Month/Type: 1. SUNDAY OF THE HOLY FATHERS | Text: 1. SUNDAY OF THE HOLY FATHERS
Line  650 | Day: floating | Month/Type: Note: The Service of the falling saint, let it be sung before that, on Friday at Compline, as noted about the Sunday of the Forefathers. | Text: Note: The Service of the falling saint, let it be sung before that, on Friday at Compline, as noted about the Sunday of the Forefathers.
Line  680 | Day: floating | Month/Type: After the Entrance - Resurrectional Troparion and of the Fathers, Glory, Both now: Kontakion of the Fathers. Prokimenon, Apostle, Alleluia and Gospel - only of the Fathers[^299]; Communion Hymn - of the Sunday and of the Fathers. | Text: After the Entrance - Resurrectional Troparion and of the Fathers, Glory, Both now: Kontakion of the Fathers. Prokimenon, Apostle, Alleluia and Gospel - only of the Fathers[^299]; Communion Hymn - of the Sunday and of the Fathers.
Line  682 | Day: floating | Month/Type: 2. SUNDAY OF THE HOLY FATHERS | Text: 2. SUNDAY OF THE HOLY FATHERS
Line  701 | Day: floating | Month/Type: 8.	Canons 3 making 14: Resurrectional with irmos on 4, Forefeast on 4 and Fathers on 6. (After the irmos of each ode of the Canon of the Fathers the first two troparia - Resurrectional, which are not taken here, but are taken only when the Sunday of the Holy Fathers falls on the very Eve, 24 December, for then the Resurrectional Canon of the Octoechos is not taken, but instead of it, these two Resurrectional troparia of the Canon of the Fathers). Sequential Katavasia "Christ is born". After the 3rd ode - Hypakoe to the Fathers; after the 6th - Kontakion-Ikos to the Fathers; after the 9th - Resurrectional Exaposteilarion; Glory: to the Fathers, Both now: of the Forefeast. | Text: 8.	Canons 3 making 14: Resurrectional with irmos on 4, Forefeast on 4 and Fathers on 6. (After the irmos of each ode of the Canon of the Fathers the first two troparia - Resurrectional, which are not taken here, but are taken only when the Sunday of the Holy Fathers falls on the very Eve, 24 December, for then the Resurrectional Canon of the Octoechos is not taken, but instead of it, these two Resurrectional troparia of the Canon of the Fathers). Sequential Katavasia "Christ is born". After the 3rd ode - Hypakoe to the Fathers; after the 6th - Kontakion-Ikos to the Fathers; after the 9th - Resurrectional Exaposteilarion; Glory: to the Fathers, Both now: of the Forefeast.
Line  716 | Day: floating | Month/Type: 3. SUNDAY OF THE HOLY FATHERS | Text: 3. SUNDAY OF THE HOLY FATHERS
Line  744 | Day: floating | Month/Type: Everything as in the previous case here on p. 157-158. Be attentive: do not read the Apostle-Gospel given in the Service Book for the Eve itself, for it is read either at Vespers itself, as on Saturday and Sunday, or at the Liturgy of Basil with Vespers, as on the other five fast days of the week, but read the Apostle-Gospel of the Sunday of the Holy Fathers itself[^302]. | Text: Everything as in the previous case here on p. 157-158. Be attentive: do not read the Apostle-Gospel given in the Service Book for the Eve itself, for it is read either at Vespers itself, as on Saturday and Sunday, or at the Liturgy of Basil with Vespers, as on the other five fast days of the week, but read the Apostle-Gospel of the Sunday of the Holy Fathers itself[^302].
Line  750 | Day: floating | Month/Type: At "Lord, I have cried", on Saturday evening on the Sunday of the Holy Fathers, instead of the 1st Theotokion (Dogmatikon), a stichera of the Forefeast is taken. Likewise on the Apodosis of the Nativity of Christ; if it falls on a Sunday - a stichera of the Feast is taken[^303]. | Text: At "Lord, I have cried", on Saturday evening on the Sunday of the Holy Fathers, instead of the 1st Theotokion (Dogmatikon), a stichera of the Forefeast is taken. Likewise on the Apodosis of the Nativity of Christ; if it falls on a Sunday - a stichera of the Feast is taken[^303].
Line  765 | Day: 24 | Month/Type: DECEMBER | Text: 24 DECEMBER Eve of the Nativity of Christ
Line  819 | Day: floating | Month/Type: Sunday before the Nativity of Christ | Text: Sunday before the Nativity of Christ
Line  822 | Day: 25 | Month/Type: DECEMBER | Text: 25 DECEMBER Nativity of our Lord Jesus Christ
Line  915 | Day: 26 | Month/Type: DECEMBER | Text: 26 DECEMBER Synaxis of the Most Holy Theotokos
Line 1160 | Day: 26 | Month/Type: DECEMBER | Text: 26 DECEMBER St. Protomartyr Stephen
Line 1166 | Day: 31 | Month/Type: DECEMBER | Text: 31 DECEMBER Apodosis of the Feast of the Nativity of Christ
Line 1211 | Day: 1 | Month/Type: JANUARY | Text: 1 JANUARY Circumcision of the Lord and memory of St. Basil the Great
Line 1328 | Day: 6 | Month/Type: JANUARY | Text: 6 JANUARY Holy Theophany
Line 1346 | Day: 7 | Month/Type: JANUARY | Text: 7 JANUARY Synaxis of St. John the Forerunner
Line 1463 | Day: 11 | Month/Type: JANUARY | Text: 11 JANUARY Our Venerable Father Theodosius
Line 1467 | Day: 14 | Month/Type: JANUARY | Text: 14 JANUARY Apodosis of Theophany
Line 1505 | Day: 17 | Month/Type: JANUARY | Text: 17 JANUARY
Line 1507 | Day: 20 | Month/Type: JANUARY | Text: 20 JANUARY
Line 1509 | Day: 25 | Month/Type: JANUARY | Text: 25 JANUARY
Line 1511 | Day: 27 | Month/Type: JANUARY | Text: 27 JANUARY
Line 1524 | Day: 30 | Month/Type: JANUARY | Text: 30 JANUARY Three Hierarchs
Line 1610 | Day: 1 | Month/Type: FEBRUARY | Text: 1 FEBRUARY Forefeast of the Meeting of the Lord
Line 1720 | Day: 2 | Month/Type: FEBRUARY | Text: 2 FEBRUARY Meeting of the Lord
Line 1945 | Day: 24 | Month/Type: FEBRUARY | Text: 24 FEBRUARY First and Second Finding of the Precious Head of the Forerunner
Line 2239 | Day: 1 | Month/Type: MARCH | Text: 1 MARCH Holy 40 Martyrs
Line 2284 | Day: 24 | Month/Type: MARCH | Text: 24 MARCH Forefeast of the Annunciation[^392]
Line 2470 | Day: 25 | Month/Type: MARCH | Text: 25 MARCH Annunciation of the Most Holy Theotokos
Line 2967 | Day: 26 | Month/Type: MARCH | Text: 26 MARCH Apodosis of the Annunciation and Synaxis of St. Archangel Gabriel
Line 3119 | Day: 23 | Month/Type: APRIL | Text: 23 APRIL Saint Great Martyr George
Line 3336 | Day: 25 | Month/Type: APRIL | Text: 25 APRIL Holy Apostle and Evangelist Mark
Line 3344 | Day: 30 | Month/Type: APRIL | Text: 30 APRIL
Line 3348 | Day: 3 | Month/Type: MAY | Text: 3 MAY Our Venerable Father Theodosius of the Caves
Line 3349 | Day: floating | Month/Type: Can fall with services of the Flowery Triodion, from Monday after the Sunday of the Apostle Thomas to the 7th Sunday after the Resurrection (Holy Fathers) inclusive. From Monday after the Sunday of the Apostle Thomas to the Apodosis of the Resurrection adhere to the rule of St. George, here on p. 280. From the Apodosis of the Resurrection and further adhere to the rule of the Theologian on 8 May, with the exception of the All-Night Vigil, as we gave on 25 April. | Text: Can fall with services of the Flowery Triodion, from Monday after the Sunday of the Apostle Thomas to the 7th Sunday after the Resurrection (Holy Fathers) inclusive. From Monday after the Sunday of the Apostle Thomas to the Apodosis of the Resurrection adhere to the rule of St. George, here on p. 280. From the Apodosis of the Resurrection and further adhere to the rule of the Theologian on 8 May, with the exception of the All-Night Vigil, as we gave on 25 April.
Line 3351 | Day: 7 | Month/Type: MAY | Text: 7 MAY Appearance of the Sign of the Precious Cross in the sky in Jerusalem
Line 3386 | Day: 8 | Month/Type: MAY | Text: 8 MAY Holy Apostle and Evangelist John the Theologian
Line 3400 | Day: floating | Month/Type: 6.	On the Sunday of the Holy Fathers. | Text: 6.	On the Sunday of the Holy Fathers.
Line 3493 | Day: floating | Month/Type: 6. JOHN THE THEOLOGIAN IN THE SUNDAY OF THE HOLY FATHERS | Text: 6. JOHN THE THEOLOGIAN IN THE SUNDAY OF THE HOLY FATHERS
Line 3537 | Day: 9 | Month/Type: MAY | Text: 9 MAY Translation of the relics of our holy father Nicholas
Line 3539 | Day: 10 | Month/Type: MAY | Text: 10 MAY Holy Apostle Simon
Line 3557 | Day: floating | Month/Type: 6.	On the Sunday of the Holy Fathers | Text: 6.	On the Sunday of the Holy Fathers
Line 3566 | Day: 21 | Month/Type: MAY | Text: 21 MAY Constantine and Helen
Line 3568 | Day: 25 | Month/Type: MAY | Text: 25 MAY
Line 3587 | Day: floating | Month/Type: 6.	On the Sunday of the Holy Fathers | Text: 6.	On the Sunday of the Holy Fathers
Line 3652 | Day: 11 | Month/Type: JUNE | Text: 11 JUNE Holy Apostles Bartholomew and Barnabas
Line 3687 | Day: 24 | Month/Type: JUNE | Text: 24 JUNE Nativity of St. John the Baptist
Line 3689 | Day: 29 | Month/Type: JUNE | Text: 29 JUNE Holy Chiefs of the Apostles Peter and Paul
Line 3713 | Day: 2 | Month/Type: JULY | Text: 2 JULY Deposition of the Precious Robe of the Most Holy Theotokos
Line 3728 | Day: 16 | Month/Type: JULY | Text: 16 JULY Holy Fathers of the first six ecumenical councils
Line 3729 | Day: floating | Month/Type: Everything according to the rule of the Holy Fathers of the Seventh Ecumenical Council 11 October, here on p. 130-131. | Text: Everything according to the rule of the Holy Fathers of the Seventh Ecumenical Council 11 October, here on p. 130-131.
Line 3730 | Day: 20 | Month/Type: JULY | Text: 20 JULY Holy Prophet Elias
Line 3734 | Day: 25 | Month/Type: JULY | Text: 25 JULY Dormition of St. Anne, mother of the Most Holy Theotokos,
Line 3744 | Day: 31 | Month/Type: JULY | Text: 31 JULY Forefeast of the Procession of the Precious Cross[^453][^450]
Line 3798 | Day: 1 | Month/Type: AUGUST | Text: 1 AUGUST Procession of the Wood of the Precious Cross
Line 3826 | Day: 6 | Month/Type: AUGUST | Text: 6 AUGUST Transfiguration of the Lord
Line 3829 | Day: 15 | Month/Type: AUGUST | Text: 15 AUGUST Dormition of the Most Holy Theotokos
Line 3831 | Day: 16 | Month/Type: AUGUST | Text: 16 AUGUST Image Not-Made-By-Hands
Line 3916 | Day: 29 | Month/Type: AUGUST | Text: 29 AUGUST Beheading of the Precious Head of St. John the Baptist
Line 3918 | Day: 31 | Month/Type: AUGUST | Text: 31 AUGUST Deposition of the Sash of the Most Holy Theotokos
